player_id,player_display_name,position,team_2025,games,snap_pct,proj_pg,role_pg,vor_pg,vor_season,reliability,targets,target_share,air_yards_share,wopr,carries,rz_carries,rz_targets,i10_touches,rz_share,actual_td,xtd,td_oe,passing_tds,pts_league,pts_pub4,sixpt_gap,pts_xtd,pts_league_pg,pts_xtd_pg,sixpt_gap_pg
00-0036415,Van Jefferson,WR,TEN,14,0.586,4.599,4.884,-4.932,-83.844,1.000,52,0.120,0.200,0.321,0,0.000,3.000,1.000,0.030,1,1.670,-0.670,0,55.500,55.500,0.000,59.523,3.964,4.252,0.000
00-0037614,John Metchie III,WR,NYJ,13,0.461,4.832,5.271,-4.700,-79.896,1.000,48,0.132,0.105,0.271,3,0.000,5.000,2.000,0.041,2,2.071,-0.071,0,55.400,55.400,0.000,55.827,4.262,4.294,0.000
00-0040138,Jaylin Noel,WR,HOU,17,0.260,3.074,2.893,-6.457,-109.773,1.000,35,0.060,0.056,0.130,6,2.000,5.000,3.000,0.044,2,2.103,-0.103,0,55.400,55.400,0.000,56.020,3.259,3.295,0.000
00-0034975,Justice Hill,RB,BAL,10,0.371,3.934,3.771,-4.914,-83.534,0.833,27,0.100,-0.006,0.146,18,3.000,1.000,1.000,0.023,3,0.772,2.228,0,54.700,54.700,0.000,41.332,5.470,4.133,0.000
00-0040727,Tre Harris,WR,LAC,16,0.485,3.671,3.650,-5.860,-99.627,1.000,43,0.091,0.089,0.199,2,1.000,5.000,1.000,0.036,1,1.792,-0.792,0,54.400,54.400,0.000,59.149,3.400,3.697,0.000
00-0039424,Devaughn Vele,WR,NO,9,0.502,5.998,6.045,-2.650,-45.045,0.750,39,0.133,0.180,0.326,0,0.000,4.000,3.000,0.033,2,1.946,0.054,0,53.800,53.800,0.000,53.475,5.978,5.942,0.000
00-0039875,Ray Davis,RB,BUF,17,0.143,3.007,2.817,-6.823,-115.999,1.000,13,0.028,0.004,0.045,58,7.000,4.000,5.000,0.058,2,2.328,-0.328,0,53.100,53.100,0.000,55.068,3.124,3.239,0.000
00-0040648,Tory Horton,WR,SEA,8,0.481,3.985,3.955,-3.698,-62.863,0.667,22,0.106,0.168,0.276,0,0.000,4.000,3.000,0.024,5,1.594,3.406,0,52.600,52.600,0.000,32.163,6.575,4.020,0.000
00-0038555,Tank Bigsby,RB,PHI,15,0.126,3.551,3.239,-6.280,-106.763,1.000,4,0.012,-0.001,0.017,63,18.000,1.000,9.000,0.126,2,3.112,-1.112,0,52.300,52.300,0.000,58.970,3.487,3.931,0.000
00-0038705,Emari Demercado,RB,ARI,12,0.232,4.711,4.328,-5.120,-87.044,1.000,20,0.043,0.005,0.068,44,5.000,4.000,7.000,0.055,1,2.723,-1.723,0,51.800,51.800,0.000,62.138,4.317,5.178,0.000
00-0040202,Devin Neal,RB,NO,9,0.400,5.394,5.525,-3.327,-56.565,0.750,19,0.061,-0.015,0.081,57,5.000,1.000,2.000,0.049,2,1.269,0.731,0,51.500,51.500,0.000,47.113,5.722,5.235,0.000
00-0032211,Tyler Lockett,WR,LV,17,0.500,3.825,4.261,-5.706,-97.004,1.000,55,0.111,0.133,0.260,0,0.000,2.000,2.000,0.018,1,1.812,-0.812,0,51.100,51.100,0.000,55.969,3.006,3.292,0.000
00-0038454,Keaton Mitchell,RB,BAL,13,0.175,3.724,3.428,-6.107,-103.814,1.000,12,0.042,-0.015,0.053,59,14.000,0.000,2.000,0.080,1,1.369,-0.369,0,50.900,50.900,0.000,53.114,3.915,4.086,0.000
00-0040078,Brashard Smith,RB,KC,17,0.167,4.106,4.297,-5.725,-97.318,1.000,35,0.066,-0.021,0.084,44,10.000,7.000,8.000,0.091,1,3.507,-2.507,0,50.800,50.800,0.000,65.844,2.988,3.873,0.000
00-0039074,Davis Allen,TE,LA,15,0.503,3.208,3.181,-4.776,-81.192,1.000,33,0.063,0.027,0.114,0,0.000,7.000,4.000,0.035,3,2.637,0.363,0,50.800,50.800,0.000,48.625,3.387,3.242,0.000
00-0040198,Ollie Gordon II,RB,MIA,17,0.224,3.333,3.622,-6.498,-110.465,1.000,9,0.018,-0.008,0.022,70,19.000,2.000,12.000,0.150,4,4.007,-0.007,0,50.600,50.600,0.000,50.644,2.976,2.979,0.000
00-0037005,Tommy Tremble,TE,CAR,15,0.601,3.464,3.524,-4.521,-76.853,1.000,37,0.091,0.058,0.178,0,0.000,5.000,3.000,0.035,2,2.074,-0.074,0,50.400,50.400,0.000,50.845,3.360,3.390,0.000
00-0038115,Daniel Bellinger,TE,NYG,13,0.499,3.380,3.168,-4.604,-78.272,1.000,26,0.063,0.066,0.141,0,0.000,6.000,1.000,0.033,2,1.536,0.464,0,50.100,50.100,0.000,47.317,3.854,3.640,0.000
00-0037252,Greg Dulcich,TE,MIA,9,0.422,6.027,5.785,-1.468,-24.958,0.750,33,0.154,0.092,0.296,1,1.000,6.000,3.000,0.050,1,2.183,-1.183,0,49.800,49.800,0.000,56.898,5.533,6.322,0.000
00-0038979,Cedric Tillman,WR,CLE,12,0.618,4.161,4.297,-5.371,-91.303,1.000,39,0.105,0.167,0.274,0,0.000,4.000,2.000,0.032,2,1.738,0.262,0,49.500,49.500,0.000,47.928,4.125,3.994,0.000
00-0032392,Austin Hooper,TE,NE,13,0.500,3.391,3.113,-4.593,-78.080,1.000,26,0.071,0.069,0.155,0,0.000,5.000,3.000,0.029,2,1.952,0.048,0,48.800,48.800,0.000,48.512,3.754,3.732,0.000
00-0032464,Kalif Raymond,WR,DET,15,0.366,2.887,2.556,-6.644,-112.947,1.000,30,0.060,0.050,0.125,2,0.000,2.000,1.000,0.011,1,1.098,-0.098,0,48.800,48.800,0.000,49.390,3.253,3.293,0.000
00-0037838,Isaiah Likely,TE,BAL,12,0.559,4.683,4.846,-3.301,-56.123,1.000,36,0.120,0.120,0.264,0,0.000,6.000,2.000,0.034,1,1.935,-0.935,0,48.200,48.200,0.000,53.811,4.017,4.484,0.000
00-0039337,Malik Nabers,WR,NYG,4,0.795,12.216,12.541,0.895,15.214,0.333,35,0.271,0.439,0.713,0,0.000,4.000,3.000,0.022,2,1.863,0.137,0,48.100,48.100,0.000,47.278,12.025,11.819,0.000
00-0035249,Josh Oliver,TE,MIN,12,0.458,2.845,2.857,-5.139,-87.361,1.000,19,0.065,0.037,0.124,0,0.000,6.000,2.000,0.041,4,1.746,2.254,0,47.500,47.500,0.000,33.978,3.958,2.831,0.000
00-0032775,Demarcus Robinson,WR,SF,14,0.468,3.348,3.215,-6.183,-105.118,1.000,35,0.076,0.143,0.213,1,0.000,3.000,1.000,0.015,1,1.325,-0.325,0,47.200,47.200,0.000,49.148,3.371,3.511,0.000
00-0031503,Jameis Winston,QB,NYG,3,0.677,12.213,11.912,-2.138,-36.339,0.250,1,0.010,0.011,0.022,7,2.000,0.000,1.000,0.011,2,0.494,1.506,2,46.780,42.780,4.000,37.742,15.593,12.581,1.333
00-0040737,Terrance Ferguson,TE,LA,11,0.367,3.361,3.263,-4.238,-72.049,0.917,25,0.065,0.117,0.179,1,1.000,3.000,3.000,0.020,3,1.614,1.386,0,46.600,46.600,0.000,38.287,4.236,3.481,0.000
00-0036550,Rashod Bateman,WR,BAL,13,0.693,3.975,4.173,-5.556,-94.455,1.000,38,0.119,0.175,0.301,0,0.000,8.000,3.000,0.046,2,2.440,-0.440,0,45.900,45.900,0.000,48.541,3.531,3.734,0.000
00-0039355,Luke McCaffrey,WR,WAS,9,0.317,2.879,2.284,-4.989,-84.820,0.750,15,0.068,0.100,0.171,0,0.000,2.000,1.000,0.013,3,0.776,2.224,0,45.800,45.800,0.000,32.455,5.089,3.606,0.000
00-0039874,Jaylen Wright,RB,MIA,9,0.215,5.608,5.893,-3.167,-53.845,0.750,9,0.041,-0.031,0.040,70,12.000,0.000,6.000,0.086,2,2.271,-0.271,0,45.700,45.700,0.000,47.324,5.078,5.258,0.000
00-0040782,Isaiah Bond,WR,CLE,15,0.481,3.871,3.865,-5.660,-96.222,1.000,44,0.093,0.214,0.289,5,0.000,4.000,3.000,0.032,0,2.079,-2.079,0,45.700,45.700,0.000,58.176,3.047,3.878,0.000
