name,pos,team,bye,rank,adp,tier,mean_pg,floor_pg,ceil_pg,model_pg,repl_pg,games_proj,mean_season,floor_season,ceil_season,vor_season,bust_prob,injury_fade,confidence,x_games_1,x_snap_pct_1,x_target_share_1,x_td_oe_pg_1,x_pts_pg_1
Romeo Doubs,WR,NE,11,96,,9,7.370,4.436,9.902,7.713,9.941,13.663,100.689,29.813,168.335,-35.137,1.000,False,high,16.000,0.776,0.189,0.011,8.619
Makai Lemon,WR,PHI,10,97,,9,7.370,3.898,10.365,7.734,9.941,13.663,100.689,19.811,176.212,-35.137,0.934,False,none,,,,,
Trevor Lawrence,QB,JAX,7,98,,9,20.524,20.524,25.941,16.055,20.185,14.805,303.858,200.372,440.998,5.027,0.000,False,high,17.000,0.967,0.000,0.136,23.305
Caleb Williams,QB,CHI,10,99,,9,20.524,17.163,23.476,19.048,20.185,14.805,303.858,187.727,399.087,5.027,0.479,False,high,17.000,0.991,0.003,0.002,21.864
Jared Goff,QB,DET,6,100,,9,20.185,19.531,24.544,16.694,20.185,14.805,298.831,210.405,417.253,0.000,0.130,False,high,17.000,0.985,0.000,-0.040,21.474
Tyler Warren,TE,IND,13,101,,9,9.059,6.425,11.795,7.261,7.186,13.979,126.641,56.032,200.516,26.185,0.142,False,high,17.000,0.838,0.215,-0.197,8.853
Patrick Mahomes,QB,KC,5,102,,9,20.185,19.876,24.934,20.888,20.185,14.805,298.831,216.015,423.876,0.000,0.061,False,high,14.000,0.974,0.002,0.156,23.513
Jalen Coker,WR,CAR,5,103,,9,7.370,5.185,12.059,4.903,9.941,13.663,100.689,35.676,205.003,-35.137,0.692,False,med,11.000,0.694,0.154,0.136,6.718
Rashid Shaheed,WR,SEA,11,104,,9,7.370,3.458,10.961,6.422,9.941,13.663,100.689,24.885,186.342,-35.137,0.864,False,high,18.000,0.609,0.162,-0.103,6.394
Jerry Jeudy,WR,CLE,11,105,,9,7.370,3.091,10.610,7.300,9.941,13.663,100.689,21.178,180.374,-35.137,0.911,False,high,17.000,0.845,0.205,-0.100,5.629
KC Concepcion,WR,CLE,11,106,,9,7.370,3.045,10.727,7.766,9.941,13.663,100.689,15.515,182.355,-35.137,0.898,False,none,,,,,
Harold Fannin Jr.,TE,CLE,11,107,,9,8.144,6.157,8.620,6.112,7.186,13.979,113.840,50.480,146.537,13.384,0.418,False,high,16.000,0.759,0.218,0.173,9.400
Jonathon Brooks,RB,CAR,5,108,,9,8.570,3.338,13.268,7.247,9.139,13.369,114.571,17.856,225.550,-7.612,0.584,False,none,,,,,
Justin Herbert,QB,LAC,7,109,,10,19.194,17.988,24.879,17.676,20.185,14.805,284.168,179.765,422.947,-14.663,0.319,False,high,16.000,0.968,0.000,-0.062,21.180
Kyle Pitts Sr.,TE,ATL,11,110,,10,8.144,6.210,8.955,7.858,7.186,13.979,113.840,61.705,152.233,13.384,0.356,False,high,17.000,0.880,0.227,0.032,9.812
Bo Nix,QB,DEN,10,111,,10,19.194,18.308,25.636,18.741,20.185,14.805,284.168,205.636,435.808,-14.663,0.256,False,high,17.000,0.996,0.002,0.124,20.873
Jaxson Dart,QB,NYG,8,112,,10,19.194,19.194,28.319,16.207,20.185,14.805,284.168,183.940,481.420,-14.663,0.109,False,high,14.000,0.836,0.000,0.240,19.399
Kyle Monangai,RB,CHI,10,113,,10,8.570,4.183,13.449,5.487,9.139,13.369,114.571,27.752,228.635,-7.612,0.535,False,high,17.000,,0.057,-0.112,8.100
Dallas Goedert,TE,PHI,10,114,,10,8.144,7.086,8.144,6.677,7.186,13.762,112.070,84.993,138.440,13.176,0.095,False,high,15.000,0.846,0.208,0.278,10.340
Kenny Gainwell,RB,TB,10,115,,10,8.351,4.711,13.400,9.104,9.139,13.369,111.652,39.517,227.804,-10.531,0.510,False,high,17.000,0.496,0.163,-0.039,10.871
Tre Tucker,WR,LV,13,116,,10,7.370,2.908,10.863,8.449,9.941,13.663,100.689,23.302,184.673,-35.137,0.884,False,high,17.000,0.948,0.190,0.050,7.835
RJ Harvey,RB,DEN,10,117,,10,8.351,4.129,13.811,7.577,9.139,13.369,111.652,35.596,234.795,-10.531,0.517,False,high,17.000,,0.102,0.199,10.771
