season,pos,model,n,mae,rmse,spearman,top_hit
2023,QB,p_model,23,4.193507020117411,5.881281203061647,0.2223320158102767,0.2857142857142857
2023,QB,b_adp,23,3.6828859446208275,5.513165732536621,0.3060154978915819,0.42857142857142855
2023,RB,p_model,57,3.0190617449264288,3.5864317074582908,0.5889387630207216,0.6842105263157895
2023,RB,b_adp,57,3.136816068451137,3.7203821368590124,0.5422883953684047,0.5789473684210527
2023,TE,p_model,20,2.0630261854338956,2.3645606779833233,0.41804511278195483,0.6666666666666666
2023,TE,b_adp,20,1.8589328672119585,2.1601633121335992,0.6411218721687646,0.6666666666666666
2023,WR,p_model,65,2.3153345130312037,2.9064182282317694,0.7663461538461539,0.7619047619047619
2023,WR,b_adp,65,2.2709119239223807,2.85872361836599,0.7671036248705027,0.7142857142857143
2024,QB,p_model,23,3.849691282806275,4.647435973103346,0.3922924901185771,0.7142857142857143
2024,QB,b_adp,23,3.436651586848669,4.284603236233332,0.5438419660195416,0.5714285714285714
2024,RB,p_model,50,3.2133193087009464,3.8600748742333346,0.6703961584633852,0.75
2024,RB,b_adp,50,3.1403886704233894,3.715921312390275,0.650506776782073,0.6875
2024,TE,p_model,19,2.388906637681582,2.8018190019384175,0.3614035087719299,0.5
2024,TE,b_adp,19,2.4172786307430827,2.8439167834391683,0.4968279634801141,0.6666666666666666
2024,WR,p_model,62,2.535450490704482,2.9885021262769222,0.5581073254262043,0.5
2024,WR,b_adp,62,2.6177252490020724,3.116162031280017,0.5581642118422929,0.55
2025,QB,p_model,26,2.796959886956425,3.4169106299094705,0.37982905982905973,0.25
2025,QB,b_adp,26,2.8933104371963605,3.6038007454313896,0.43478877859509546,0.375
2025,RB,p_model,49,2.656038979196141,3.1861217678258984,0.783469387755102,0.75
2025,RB,b_adp,49,2.5435098440151873,3.187350612079865,0.7763889704829091,0.75
2025,TE,p_model,22,1.8163024981542832,2.315767078367739,0.5324675324675326,0.5714285714285714
2025,TE,b_adp,22,1.8185392073113555,2.1432481487275,0.5854369373503221,0.7142857142857143
2025,WR,p_model,72,2.2616057140253263,2.9296137757961604,0.6405608122981148,0.625
2025,WR,b_adp,72,2.4445511370434656,3.14956443589804,0.6256048975669987,0.5833333333333334
